评论ID,版本,评论内容,情感标注,AI关键词
52157,2.6,"可恶，是原始博士！什么时候！？😖😫
额啊，我，我是，呃，香蕉？🤔
对，我是香蕉🍌😃

香🐵香🐵香🐵香🐵香🐵香🐵
🍌蕉🍌蕉🍌蕉🍌蕉🍌蕉🍌蕉
香🐵香🐵香🐵香🐵香🐵香🐵
🍌蕉🍌蕉🍌蕉🍌蕉🍌蕉🍌蕉
🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵
🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵
        🍌
            🍌
               🍌
                  🍌 ——
                    🍌🐒——
                           ——

🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌
🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌
摆满香蕉的小岛🍌🍌
睡蕉小猴的爱巢🍌🍌
吃完香蕉就睡觉🍌🍌
快快乐乐没烦恼🍌🍌
睡蕉小猴真是好🍌🍌
幸福美满没烦恼🍌🍌🍌摆🍌满🍌香🍌蕉🍌的🍌小🍌岛🍌
🙈睡🙉蕉🐵小🙊猴🙉的🐒爱🐵巢🙊
🍌吃🍌完🍌香🍌蕉🍌就🍌睡🍌觉🍌
🐒快🙉快🐵乐🐵乐🐵没🙉烦🙊恼🐒
🍌睡🍌蕉🍌小🍌猴🍌真🍌是🍌好🍌
🙊幸🐒福🐵美🐵满🐵没🙉烦🐵恼🐒",1,"睡蕉小猴,快乐"
62383,3.2,[崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_比心],1,"遨游,比心"
103698,4.3,来了,0,
54953,3.0,啊??这是要带我去哪里?[原神_警觉],0,警觉
28168,2.0,"看其它的可能是欺诈，
真正的崩三玩家在看到烧鸡老师的那一刻便理解了一切[doge]
（不一定刀，但肯定稳了）",1,"稳了,理解"
81246,3.6,看哭了 我的两个好伙伴,1,"看哭了,好伙伴"
18944,1.4,我靠，镜流出场的bgm太好听了,1,"好听,镜流"
79802,3.6,"兑换码（分开发）
HWQLG8XXRSY4
KW85H8XW9TGG
6WRLG8EEQBZQ",0,兑换码
97243,4.1,[打call][打call][打call],1,"打call,喜爱"
51413,2.6,穹掉下来后的动作哈哈哈哈哈哈,1,"有趣,动作"
6858,1.1,来了[星星眼],1,"期待,星星眼"
181,1.0,我敲,0,
81905,3.6,对喜欢的一集，不过冲突倒是很多了，只希望有个好结局[墨镜],1,"喜欢,期待好结局"
28521,2.0,44:46逆天小广告,0,逆天小广告
103450,4.3,等一波武内不还原滑坡，米哈游肚子里的蛔虫T0大小鬼带节奏，以及小骸哥对比赢赢赢。[doge_金箍]别的不知道，反正崩铁送的角色已经足够凑一两队，在我小号发光发热了,1,"送角色,发光发热"
12481,1.2,太酷啦！[打call],1,"酷,打call"
48488,2.5,义母飞霄[脱单doge],1,"义母,飞霄"
16282,1.3,停云呢？[笑哭],0,"停云,笑哭"
22693,1.6,啊啊啊啊啊啊我勒个豆，你是真送啊！！！干翻原神！崩坏永存！,1,"送,干翻原神,崩坏永存"
56529,3.0,请大家打开日历看今年农历三月七日[doge],0,"日历,三月七日"
38261,2.2,景元他又在忙了，虽然很有安全感但是好心疼啊将军希望你好好休息，匹诺康尼都来了[笑哭][笑哭][笑哭],1,"心疼,将军,安全感"
86416,3.7,求求你包饺子,1,"包饺子,期待"
102400,4.3,提前部署[doge],0,提前部署
83335,3.7,我劝你善良点，弓箭别卖太贵，两个号呢[热],-1,"劝你善良,卖太贵"
21898,1.6,怎么评论加载不出来！？,0,评论加载不出来
66677,3.3,我躺平好了，赛飞儿什么时候来我家收工[脱单doge],1,"躺平,期待"
89867,3.8,我先說一件事。【孩子們，你們根本就沒問】,0,"孩子们,没问"
61798,3.1,万敌[大哭][大哭][大哭],1,"万敌,大哭"
39694,2.3,啊啊啊啊啊许愿翡翠,1,"许愿,翡翠"
102008,4.2,许愿不保底不歪[星星眼],1,"许愿,不保底,不歪"
18179,1.4,"自给大伙讲个啸话
一位小伙兴奋的打开崩铁，他定睛一看大声喊到“1.4了！1.4了！”（伊甸死了乆乆乆）",0,"笑话,1.4,伊甸死了"
51254,2.6,咱们列车三小只也是上学去了,1,"列车三小只,上学"
3600,1.0,好耶[打call],1,好耶
34233,2.1,建议官方和玩家一起合作，共同抵制内鬼[脱单doge],0,"建议,抵制内鬼"
86757,3.7,我觉得伍佰的枫叶这首歌很适合哀丽秘谢和翁法罗斯。,1,"适合,哀丽秘谢,翁法罗斯"
88162,3.8,孩子们 我呢？,0,"孩子们,我呢"
3139,1.0,军火展示[歪嘴],0,军火展示
24401,1.6,送五星限定？薄纱某二字！,1,"送五星限定,薄纱"
86263,3.7,大家，一定都要活着好吗😭,1,"感动,活着"
94203,4.0,神特么朋克洛德的狼尊回来了，真的有人听到能绷住吗？,1,"搞笑,绷不住"
41322,2.3,猜一猜，之前还说匹诺康尼藏了繁育的虫群，如果到时候炸弹是流萤拿来打虫群的…不过也不太可能，毕竟一个炸弹怎么比得上格拉默铁骑的威力[笑哭]反正肯定是PV欺诈,0,"猜测,PV欺诈"
12093,1.2,"讽刺啊，此时此刻，已经被卖掉的仙剑尸体正在被人公演解剖卖钱
你的第一款仙剑又何必是仙剑

谢谢米哈游，真的，谢谢……",-1,"讽刺,失望"
44578,2.4,提前一年画饼啊,0,画饼
72312,3.4,知道汪酱为什么没有实装吗？因为他幸运e策划3选2抓阄没抽到[笑哭],1,"搞笑,幸运e"
15108,1.3,三个自塑尘  tnnd啊原好好看看,-1,"对比,不满"
42690,2.3,[笑哭]就知道花火还要搞事情，话说鸟应该没事吧，看样子炸弹被萨姆抱着？不会第三次死亡说的是这个吧，那可真是太6了（[滑稽]）,1,"期待,搞笑"
21680,1.5,"岁阳：被困在一座连不上联觉信标的造化洪炉里，只有靠建木苏生才能跑出来逛逛，好不容易出来了外面还有个神策将军一声‘帮帮我神君先生’给一刀淦烂

蚀律：被困在一台没有联网的电脑上为了活下去只能通过芽衣这个唯一的接口，就算出去了，外边还有个保安大爷一声‘我要发动一次nb的攻击’给一剑淦烂[妙啊]",1,"搞笑,对比"
90436,3.8,想建一个“会萤的”楼[大哭],1,"期待,厨力"
21358,1.5,好惨，铁的热度还是被O薄纱了，可能是因为新出的角色是水神吧,-1,"失望,对比"
91295,4.0,直播弹幕一些生物有点像找不到父母帮它擦屁股天天就到处告诉别人拉完了,-1,"批评,弹幕"
49749,2.5,呼雷:丸辣，好不容易策反了个爷(飞霄)被那星核精拉去单挑了又TM来了个爹(镜流)这我还打个屁啊，告诉步离人我回不去了[脱单doge],1,"搞笑,剧情"
61270,3.1,真理医生啥时候复刻啊铁宝，你不想让大家接受教育了吗,0,"询问,复刻"
65739,3.3,喷不了,0,
37443,2.2,[星星眼][星星眼],1,"星星眼,喜爱"
60056,3.1,什么游戏[滑稽][滑稽][滑稽],0,询问
90167,3.8,击破c是只有流萤一个是吧[笑哭]巡猎怎么你了，ch还是没有原谅巡猎吗？,-1,"吐槽,不满,巡猎"
21800,1.5,话说三月七皮肤你啥时候实装一下啊,0,"询问,期待"
52015,2.6,游戏里也逃不开“上学”，我要欢乐课堂！！！！！[脱单doge],0,调侃
28649,2.0,要了丹恒厨的老命了，我氪，我买，来，恒恒，和妈妈的钱说再见,1,"厨力,氪金,喜爱"
38287,2.2,7BGZL83M9TYL,0,兑换码
98132,4.1,4.1，拿拐杖，和cv和莱特有关，你是[思考],0,猜测
40621,2.3,官方简介没打完[doge],0,调侃
508,1.0,看了前瞻我更加确信铁道是大项目了，又是景区联动，又是科普节目，又是音乐纪录片，应该是旗舰，绝区零和铁道几乎没什么时间差，那大概率是是小项目，小箱庭而且没什么探索的地方，估计以玩法为主了[笑哭]有不同看法的吗？[脱单doge],0,"讨论,分析"
16758,1.3,我擦，怎么都1.3了？,0,惊讶
64594,3.2,[喜欢],1,喜欢
59886,3.1,"兑换码:
8UU5JPRKENPY
9CV5J69KE67L
WUV4KN8KW7N8
上半提宝云璃
下半万敌藿藿[打call]",0,兑换码
7123,1.1,[doge][doge],0,表情
75259,3.5,"让无人传颂的歌谣，再度启唱。
为历史尘封的故事，续写新章。
高洁而纯真的灵魂，踏上旅途。
愿天谴之矛爱佑其身，赐予「纷争」的荣耀。
愿翻飞之币爱佑其身，赐予「诡计」的真诚。
愿灰黯之手爱佑其身，赐予「死亡」的温柔。
愿磐岩之脊爱佑其身，赐予「大地」的博爱。
愿满溢之杯爱佑其身，赐予「海洋」的关怀。
愿晨昏之眼爱佑其身，赐予「天空」的疗愈。
愿黄金之茧爱佑其身，赐予「浪漫」的美好。
愿裂分之枝爱佑其身，赐予「理性」的前路。
愿万径之门爱佑其身，赐予「门径」的指引。
愿公正之秤爱佑其身，赐予「律法」的正义。
愿永夜之帷爱佑其身，赐予「岁月」的见证。
愿全世之座爱佑其身，赐予「负世」的烈阳。
愿无瑕之人爱佑其身，赐予「真我」的回归。
我们于此赞颂，灰白之黎明的显著
「我这支歌将抚摸你的前额，犹如那祝福的亲吻」
「当你独自一人时，它会坐在身旁与你耳语；当你陷入人群时，它又会保护你远离喧嚣」
「我的歌将成为你梦想的羽翼，它将载着你的心到那未知的边缘」
「当黑夜遮蔽了你的路时，它又成为了照耀在你头顶的忠实星光」
于是，「始源」的故事迎来落幕
于是，「始源」的故事迎来伊始
「以我为终……」
以我……为始。",1,"厨力,喜爱,赞美"
12474,1.2,新版本[打call][打call][打call],1,"打call,新版本"
2958,1.0,[脱单doge][脱单doge][脱单doge],0,脱单doge
7071,1.1,希望小保底不歪,1,"希望,小保底不歪"
79471,3.6,可以可以,1,可以
84344,3.7,特效不错，剧情我很喜欢，早就期待大结局了，但是你氪金点太多，是真的我想象不到有这么逆天，你是告诉我你一个版本下来就一个活动,-1,"氪金点太多,活动少,逆天"
89431,3.8,后面两个月我玩啥[大哭],-1,"大哭,玩啥"
52163,2.6,小鸟对对碰啥时候再来一下？,0,"小鸟对对碰,再来"
100692,4.2,燃燃燃,1,燃
47400,2.4,问一个问题哦，虚灵的将军看起来是不是不弱于飞霄的，毕竟虚灵设定上感觉像是仙舟联盟的压箱底武器了，不到迫不得已不起用的那种,0,"问题,虚灵,将军,飞霄"
31342,2.1,扣一复活牢莹,1,"复活,牢莹"
94720,4.0,你说得对但是马头我是真想要[藏狐],1,"想要,马头"
21217,1.5,银枝sama，就等你来，枝门🙏,1,"银枝,枝门"
34775,2.1,砂金太难打了[大哭][大哭][大哭],-1,"砂金,难打,大哭"
18223,1.4,大家中秋快乐[保卫萝卜_哇],1,中秋快乐
88866,3.8,[脱单doge],0,脱单doge
47832,2.5,“明霄竞武试锋芒，碧雨飞黄射天狼！”好句[星星眼],1,"好句,星星眼"
59884,3.1,唉产能，唉福利,-1,"产能,福利"
40852,2.3,“流萤，你是我最后也是最彻底最完全的善”,1,"流萤,善"
75223,3.5,前排,0,
95252,4.0,哇，绯英cv居然不是杜冥鸦,0,"绯英,cv"
65383,3.3,啊？猫猫躺倒在门前，还爆了一摊金币？[灵魂出窍],0,"猫猫,金币"
48000,2.5,爸爸我把大保底不小心给椒丘了给我知更鸟求你了😭😭😭😭我求求你了爸爸啊啊啊😭😭😭😭我需要小鸟😭😭😭😭爸爸他是我的命啊😭😭😭😭，爸爸没有光椎也行啊，我保证好好养小鸟😭😭😭求你了爸爸给我吧😭😭😭😭😭😭😭😭😭，我需要她😭😭😭，我不能没有她😭😭😭😭😭，求求你了爸爸啊啊啊啊啊啊啊啊啊啊啊😭😭😭😭😭😭😭😭😭😭😭,-1,"大保底,求,哭"
102366,4.3,"4.3版本卡池信息
爻光
千治刃
fate联动第二弹
远坂凛
复刻卡池
白厄
昔涟
4.3前瞻兑换码
9XEXMCQG9TDY
HEEW5U8HRTCL
3EWWMVRZQBU8",0,"卡池,兑换码"
20762,1.5,你这银枝莫名其妙闯入列车，是不是多少沾点[思考],0,"银枝,思考"
35346,2.2,起猛了，在2.2PV里看见景元了,0,景元
79243,3.5,今天没事路过黎明云崖，发现刻法勒也是四只手，想起前瞻里来古士也是四只手...[小电视_吃惊],0,"刻法勒,来古士"
104255,4.3,整段预告大部分都是骗人的[笑哭][笑哭][笑哭],-1,骗人
53956,2.7,"隐藏兑换码wengfaluosi
120星琼记得拿",0,"兑换码,星琼"
68148,3.3,我感觉黑厄应该和迷迷一样有成长性的，我个人觉得嗷，黑厄，白厄，迷迷三者在逐火之旅不断完善自己，到了一个峰值，一起爆了，然后轮回，哈哈哈哈，可能有点草率,0,"黑厄,迷迷,成长性"
46363,2.4,我想了好久 为什么云璃乍一看是火系实际上是物理 现在我想通了 因为云里雾里(云璃物理)_x0014_ĕ,0,"云璃,物理,云里雾里"
59928,3.1,加强呢，我都等半天了，这是一点没透露啊，放点大饼也行啊，别跟我扯刷怪，我等希儿和罗刹加强等好久了,-1,"加强,等,失望"
82408,3.6,周日哥你什么表情哈哈哈哈哈哈,1,"哈哈哈哈,表情"
79725,3.6,"丹枫——云龙月刀；
丹恒——青龙圣刀；
丹恒·饮月——游龙无影刀；
丹恒·腾荒——金龙斩风刀
【丹义父形态，升至最高级！】",1,"刀,形态"
19778,1.4,就等镜流了,1,"等,期待"
48362,2.5,"一人一个前瞻梗，我先来
三月七：不是，我打呼雷？[脱单doge]",1,"梗,有趣"
60724,3.1,合着节奏全跑这里来了啊，这段时间原神没节奏我都不习惯了，没节奏的连游戏都不好玩了[傲娇],0,"节奏,习惯"
36521,2.2,"啊！知更鸟小姐！美神降临呜呜呜！
[崩坏学园2_花痴][崩坏学园2_花痴][崩坏学园2_花痴]",1,"美神,花痴,激动"
27122,2.0,匹诺康尼既然是梦境世界，打个琼玉牌也不是不可能。,0,"梦境,可能"
19413,1.4,"前瞻直播用自机角色完美3D直播，复刻分单独卡池，直播完送十罐体力，活动一图流连送十连都懒得写进去

这就是崩坏：星穹铁道，新世纪的完美游戏[打call]

接下来我要点名一款二字游戏[脑洞波系列主题装扮-贝拉_戳手指]",1,"完美,打call"
12657,1.2,刃！今天前瞻有miki我真的激动到哭！还有九天多！我已经准备好把刃娶回家了！,1,"激动,娶回家,期待"
16943,1.3,才发现星铁pv也是崩三祖传小曲。。。。,0,"发现,小曲"
64718,3.2,话说联动什么时候开始啊？[笑哭],0,"联动,开始"
27263,2.0,抽到黑天鹅可以请她用塔罗牌算算龙脉吗（错乱[tv_鬼脸],1,"塔罗牌,有趣"
52593,2.7,终于更新了，还以为你退网了[大哭],1,"更新,开心"
95389,4.0,什么叫刃连人带床过来了꒰꒪꒫꒪⌯꒱？,1,"刃,有趣"
51698,2.6,那个香蕉哥的配音是星游记的克拉吗,0,询问
62331,3.2,这个版本是周年庆吗？？？我记得崩铁不是十月份开的服吗？？？,0,询问
7117,1.1,还真没主线啊？,0,询问
59619,3.1,"8UU5JPRKENPY
9CV5J69KE67L
WUV4KN8KW7N8",0,兑换码
81035,3.6,我是盲人，请问腾飞的荒泷是防御加成的岩属性角色吗？[doge],0,调侃
86024,3.7,孩子们我还能说什么呢,0,
28155,2.0,汗流浃背了[藏狐],0,表情
91362,4.0,1111111,0,数字
70859,3.4,@Balabalabalamunu 其实每次看到白厄都会想一个人知道自己是男主的情况下竟然会这么做吗，帅也是真帅,1,"帅,思考"
60383,3.1,小敌真的好好看啊[星星眼]，希望大家都好好的[保佑],1,"好看,希望"
93154,4.0,[崩坏3·光辉矢愿_吃西瓜冰],0,表情
101787,4.2,6,0,数字
61324,3.1,无聊的版本，跳过等🦋,-1,"无聊,跳过"
59741,3.1,对缇宝犯错误了,0,调侃
1748,1.0,准备上车！,1,准备上车
97843,4.1,看到前瞻公告提到星铁fes还以为会有五一星铁fes的消息说[委屈]（不过这会说好像有点早也是？）,-1,"委屈,失望"
33078,2.1,好好好,1,好好好
53372,2.7,"GVZFESL8JGUY
RCZEXSLQ3HVL
BDZXWB4RJZC8",0,兑换码
7591,1.1,前排好吧！,1,前排
26532,2.0,[崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_不可以看],0,表情
35071,2.2,我踏马来啦！！！！！,1,"期待,兴奋"
16365,1.3,1.3什么时候更新 30号？,0,"询问,更新"
93035,4.0,突然发现绯英的cv居然不是杜冥鸦老师[哦呼],0,"发现,疑问"
15690,1.3,好好好,1,好好好
75198,3.5,[脱单doge],0,表情
42388,2.3,好消息：语文拿捏了[doge]，坏消息：数学还是不会写[笑哭],0,"调侃,自嘲"
62305,3.2,疯狂疯狂薄荷冰激凌！！！融化吧！（啥）,1,"疯狂,兴奋"
10140,1.2,直播间在逃,0,描述
64389,3.2,会不会遐蝶碰活人死，碰死人活？最后一个人留在冥界,0,"猜测,讨论"
84421,3.7,为什么弹幕上都在刷九九和爱门[热],0,"疑问,弹幕"
64080,3.2,大家记得5月26号上线领原画集哦,1,"领取,原画集"
41929,2.3,传一下前瞻哥们[笑哭]忘记看了,0,忘记看
93334,4.0,爽了！哈哈哈，花火火花！[doge],1,"爽,花火"
35797,2.2,这2.1我真的一秒都待不下去了[大哭],-1,"待不下去,大哭"
89913,3.8,"2E2Y9TZFWFZQ
AFJZQBZXWFJC
2WKG9BZWFW3G",0,兑换码
95597,4.0,喜剧的内核是悲剧，二相乐园是欢愉，最后剧情不会比翁星要沉重吧[思考],0,"思考,剧情"
90982,3.8,不要刀萤宝啊，米哈游我求你了[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭],-1,"刀,求,大哭"
54873,3.0,砂金：怎么，在想我的事,0,砂金
18858,1.4,[给心心][给心心][给心心][给心心],1,给心心
25932,2.0,垃圾桶之王？,0,垃圾桶之王
53442,2.7,孩子们，我赢麻了,1,赢麻了
86509,3.7,游戏内决战，游戏外也不能落下啊😋大家继续🤓,1,"决战,继续"
102502,4.3,直播间在逃人士在哪里？[doge],0,"直播间,在逃"
46173,2.4,一定要有阿尔托莉雅好不好一定要有阿尔托莉雅好不好一定要有阿尔托莉雅好不好一定要有阿尔托莉雅好不好一定要有阿尔托莉雅好不好,1,"阿尔托莉雅,一定要有"
39347,2.2,啊啊啊看到饮月和将军真的尖叫了……！😭,1,"尖叫,饮月,将军"
32007,2.1,米哈游最近对模拟经营为啥这么执着，崩原铁都搞模拟经营了[保卫萝卜_哭哭]数海寻馔可太肝了[跪了],-1,"执着,肝,哭哭"
99412,4.2,[星星眼],1,星星眼
56329,3.0,可不可以把遗器数量改多一点……开服的老东西真的装不下啦，优化又优化剩余的，但是还是不够装就剩300个空位了,-1,"不够装,优化"
14074,1.2,众所周知，性别是爸爸的X和Y染色体造成的所以说选性别的是爸爸所以卡芙卡是爸爸，创造身身体是妈妈这的责任所以说银狼是妈妈,0,"爸爸,妈妈"
3930,1.0,26号在学校，赶不上开服呜呜呜[保卫萝卜_哭哭][保卫萝卜_哭哭],-1,"赶不上,哭哭"
61063,3.1,遐蝶[大哭][大哭][大哭],-1,大哭
93465,4.0,完了，把前瞻给忘了,-1,忘了
45167,2.4,虽然鸳鸯锅很对我胃口，但是后续的飞霄将军和灵砂明显更好啊[热词系列_多谢款待],1,"对胃口,更好"
99763,4.2,你们看我升LV6这事[少女乐队的呐喊表情包_献花][少女乐队的呐喊表情包_献花][少女乐队的呐喊表情包_献花],1,"升LV6,献花"
75616,3.5,这个黑化的七月三还挺好看的，有点儿想抽，要不放弃音鲸女子算了……,1,"好看,想抽"
49371,2.5,"仙舟连续两个版本没符玄出场啊，好像她是出场最少的那批限五吧？贝洛伯格都来凑热闹了，要说罗刹镜流卡芙卡这些是给后面大活留戏份，我是不知道符玄后面还有啥能出场的……真就一句出差省事呗[哦呼]
不过还好最喜欢的我托又买了，美美来仙舟[汤圆][汤圆]",-1,"没出场,出差"
5234,1.0,啦啦啦,0,啦啦啦
89069,3.8,我就知道会是这个标题,0,标题
98589,4.1,这么搞的话，会不会像3.0昔涟那样有一个自机角色成为欢愉星神，绯樱？或者大胆点，归寂？[思考],0,思考
49130,2.5,"下面是三个兑换码
2D5RR98VXXXL
WU48998VWFXG
4VLRRRRUEEEC
兑换码将在8月31日12点失效，大家注意时间兑换哦
祝开拓者们十连三金，永远不歪[给心心]",1,"兑换码,十连三金"
27183,2.0,“我们是一个快乐健康阳光的游戏”,1,"快乐,健康,阳光"
102382,4.3,到了兄弟们，就是在学校没法上手[崩坏3·光辉矢愿_比心],1,"比心,期待"
69274,3.3,CA2F5GK2MN，帮帮我[给心心],0,兑换码
60568,3.1,帅麻了,1,帅
34531,2.1,不管了 黄泉我先满为敬,1,"满命,厨力"
11560,1.2,我彦卿只打高端局[doge],1,"高端局,幽默"
78888,3.5,现在刷到，，，我的兑换码呀,-1,"错过,兑换码"
69860,3.4,"为什么白厄和万敌打七圣召唤没赢过？
因为他是“牌厄”",0,"梗,幽默"
19102,1.4,好耶,1,"好耶,开心"
103997,4.3,是姬子用老祖绘世身体出来跑了一圈，回到二相乐园归寂又把这个身体抢回去捏成BOSS了。这次新发的立绘就是姬子真正的启程？,0,"剧情分析,猜测"
22835,1.6,义父！！！！！！,1,"激动,厨力"
63831,3.2,这么说今年只有演唱会，是没有展子了是吧,-1,"失望,没有展子"
53144,2.7,"面对曾经的自己
与隔壁的人偶有异曲同工之妙",0,"对比,分析"
36747,2.2,"星星粉碎？罗刹快跑！
天上的暴君啊，见识下星星毁灭的样子吧[脱单doge]",1,"梗,有趣"
50585,2.6,2VWS84DNRZXY,0,兑换码
70448,3.4,[崩坏3·光辉矢愿_回眸][崩坏3·光辉矢愿_比心]咦，赶上前排了！,1,"前排,开心"
97662,4.1,"GEL37KXHDU9G
FXLKNKWHVURC
CE4K7KEYCUPQ",0,兑换码
41779,2.3,流萤的第三次死亡其实是这样：为了保护大家带着炸弹疯狂飞，结果炸弹是假的，导致流萤社死了[脱单doge],1,"有趣,社死"
58634,3.0,我压上我的阳寿，我要中50万！！！！砂金助我！！！,1,"期待,阳寿"
25680,2.0,冲,0,
43125,2.3,很好奇，这次没有兑换码吗？我好像到处都找不到兑换码,0,"询问,兑换码"
83196,3.7,大结局画面提前流出,0,大结局
51547,2.6,估计没人注意到，主角的高桥留美子经典手势~,1,"细节,经典"
53876,2.7,急急急急急，我现在就想跳过2.6和2.7，直接去翁法罗斯,1,"急,期待"
11786,1.2,[喜欢],1,喜欢
5684,1.0,有和我一起的吗？(=・ω・=),0,询问
34422,2.1,太空喜剧，咱们别搞刀什么的好吗😭,-1,"担心,刀"
41533,2.3,特效还是一言难尽,-1,"一言难尽,特效"
11356,1.2,饮月[喜欢][喜欢][喜欢][喜欢]我滴老婆啊你终于出现了[喜欢][喜欢][喜欢],1,"喜欢,老婆"
32964,2.1,知道这是黄泉，但是加个角真的不是芽衣吗[藏狐],0,"疑问,相似"
31862,2.1,砂金啊啊啊啊啊啊我嗅到了刀的味道,1,"期待,刀"
