评论ID,版本,评论内容,评论时间,点赞数,情感标注,标注理由
52157,2.6,"可恶，是原始博士！什么时候！？😖😫
额啊，我，我是，呃，香蕉？🤔
对，我是香蕉🍌😃

香🐵香🐵香🐵香🐵香🐵香🐵
🍌蕉🍌蕉🍌蕉🍌蕉🍌蕉🍌蕉
香🐵香🐵香🐵香🐵香🐵香🐵
🍌蕉🍌蕉🍌蕉🍌蕉🍌蕉🍌蕉
🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵
🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵
        🍌
            🍌
               🍌
                  🍌 ——
                    🍌🐒——
                           ——

🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌
🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌
摆满香蕉的小岛🍌🍌
睡蕉小猴的爱巢🍌🍌
吃完香蕉就睡觉🍌🍌
快快乐乐没烦恼🍌🍌
睡蕉小猴真是好🍌🍌
幸福美满没烦恼🍌🍌🍌摆🍌满🍌香🍌蕉🍌的🍌小🍌岛🍌
🙈睡🙉蕉🐵小🙊猴🙉的🐒爱🐵巢🙊
🍌吃🍌完🍌香🍌蕉🍌就🍌睡🍌觉🍌
🐒快🙉快🐵乐🐵乐🐵没🙉烦🙊恼🐒
🍌睡🍌蕉🍌小🍌猴🍌真🍌是🍌好🍌
🙊幸🐒福🐵美🐵满🐵没🙉烦🐵恼🐒",2024-10-12 06:46:19,0,,
62383,3.2,[崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_比心],2025-03-28 20:20:06,0,,
103698,4.3,来了,2026-05-22 21:11:40,1,,
54953,3.0,啊??这是要带我去哪里?[原神_警觉],2025-01-01 20:57:39,4,,
28168,2.0,"看其它的可能是欺诈，
真正的崩三玩家在看到烧鸡老师的那一刻便理解了一切[doge]
（不一定刀，但肯定稳了）",2024-01-26 22:30:34,1,,
81246,3.6,看哭了 我的两个好伙伴,2025-09-12 20:20:07,0,,
18944,1.4,我靠，镜流出场的bgm太好听了,2023-09-29 20:27:05,0,,
79802,3.6,"兑换码（分开发）
HWQLG8XXRSY4
KW85H8XW9TGG
6WRLG8EEQBZQ",2025-09-12 20:04:04,18,,
97243,4.1,[打call][打call][打call],2026-03-13 20:06:22,0,,
51413,2.6,穹掉下来后的动作哈哈哈哈哈哈,2024-10-11 20:21:19,4,,
6858,1.1,来了[星星眼],2023-05-27 12:00:42,0,,
181,1.0,我敲,2023-03-24 22:50:56,1,,
81905,3.6,对喜欢的一集，不过冲突倒是很多了，只希望有个好结局[墨镜],2025-09-12 22:05:37,0,,
28521,2.0,44:46逆天小广告,2024-01-26 23:19:46,0,,
103450,4.3,等一波武内不还原滑坡，米哈游肚子里的蛔虫T0大小鬼带节奏，以及小骸哥对比赢赢赢。[doge_金箍]别的不知道，反正崩铁送的角色已经足够凑一两队，在我小号发光发热了,2026-05-22 20:16:38,91,,
12481,1.2,太酷啦！[打call],2023-07-08 21:33:01,0,,
48488,2.5,义母飞霄[脱单doge],2024-08-30 20:14:27,0,,
16282,1.3,停云呢？[笑哭],2023-08-18 20:22:30,0,,
22693,1.6,啊啊啊啊啊啊我勒个豆，你是真送啊！！！干翻原神！崩坏永存！,2023-12-15 20:26:01,1,,
56529,3.0,请大家打开日历看今年农历三月七日[doge],2025-01-01 22:24:37,1,,
38261,2.2,景元他又在忙了，虽然很有安全感但是好心疼啊将军希望你好好休息，匹诺康尼都来了[笑哭][笑哭][笑哭],2024-04-26 23:27:56,2,,
86416,3.7,求求你包饺子,2025-10-25 20:17:59,3,,
102400,4.3,提前部署[doge],2026-05-22 19:57:40,5,,
83335,3.7,我劝你善良点，弓箭别卖太贵，两个号呢[热],2025-10-24 20:17:51,0,,
21898,1.6,怎么评论加载不出来！？,2023-12-15 20:18:42,0,,
66677,3.3,我躺平好了，赛飞儿什么时候来我家收工[脱单doge],2025-05-09 20:13:38,1,,
89867,3.8,我先說一件事。【孩子們，你們根本就沒問】,2025-12-05 20:33:34,0,,
61798,3.1,万敌[大哭][大哭][大哭],2025-03-10 16:02:34,0,,
39694,2.3,啊啊啊啊啊许愿翡翠,2024-06-07 20:01:29,0,,
102008,4.2,许愿不保底不歪[星星眼],2026-05-04 11:20:47,0,,
18179,1.4,"自给大伙讲个啸话
一位小伙兴奋的打开崩铁，他定睛一看大声喊到“1.4了！1.4了！”（伊甸死了乆乆乆）",2023-09-29 20:06:08,0,,
51254,2.6,咱们列车三小只也是上学去了,2024-10-11 20:16:17,0,,
3600,1.0,好耶[打call],2023-03-25 01:06:54,0,,
34233,2.1,建议官方和玩家一起合作，共同抵制内鬼[脱单doge],2024-03-17 06:44:06,3,,
86757,3.7,我觉得伍佰的枫叶这首歌很适合哀丽秘谢和翁法罗斯。,2025-11-02 12:52:07,0,,
88162,3.8,孩子们 我呢？,2025-12-05 20:02:45,1,,
3139,1.0,军火展示[歪嘴],2023-03-25 00:13:33,1,,
24401,1.6,送五星限定？薄纱某二字！,2023-12-15 21:51:05,3,,
86263,3.7,大家，一定都要活着好吗😭,2025-10-25 13:11:06,1,,
94203,4.0,神特么朋克洛德的狼尊回来了，真的有人听到能绷住吗？,2026-02-06 20:40:55,37,,
41322,2.3,猜一猜，之前还说匹诺康尼藏了繁育的虫群，如果到时候炸弹是流萤拿来打虫群的…不过也不太可能，毕竟一个炸弹怎么比得上格拉默铁骑的威力[笑哭]反正肯定是PV欺诈,2024-06-07 20:15:26,0,,
12093,1.2,"讽刺啊，此时此刻，已经被卖掉的仙剑尸体正在被人公演解剖卖钱
你的第一款仙剑又何必是仙剑

谢谢米哈游，真的，谢谢……",2023-07-08 20:32:51,0,,
44578,2.4,提前一年画饼啊,2024-07-19 20:07:53,0,,
72312,3.4,知道汪酱为什么没有实装吗？因为他幸运e策划3选2抓阄没抽到[笑哭],2025-06-20 20:45:41,1,,
15108,1.3,三个自塑尘  tnnd啊原好好看看,2023-08-18 20:04:11,0,,
42690,2.3,[笑哭]就知道花火还要搞事情，话说鸟应该没事吧，看样子炸弹被萨姆抱着？不会第三次死亡说的是这个吧，那可真是太6了（[滑稽]）,2024-06-07 23:16:44,0,,
21680,1.5,"岁阳：被困在一座连不上联觉信标的造化洪炉里，只有靠建木苏生才能跑出来逛逛，好不容易出来了外面还有个神策将军一声‘帮帮我神君先生’给一刀淦烂

蚀律：被困在一台没有联网的电脑上为了活下去只能通过芽衣这个唯一的接口，就算出去了，外边还有个保安大爷一声‘我要发动一次nb的攻击’给一剑淦烂[妙啊]",2023-11-04 19:34:52,6,,
90436,3.8,想建一个“会萤的”楼[大哭],2025-12-05 23:14:02,30,,
21358,1.5,好惨，铁的热度还是被O薄纱了，可能是因为新出的角色是水神吧,2023-11-04 02:12:43,38,,
91295,4.0,直播弹幕一些生物有点像找不到父母帮它擦屁股天天就到处告诉别人拉完了,2026-02-06 20:30:25,1,,
49749,2.5,呼雷:丸辣，好不容易策反了个爷(飞霄)被那星核精拉去单挑了又TM来了个爹(镜流)这我还打个屁啊，告诉步离人我回不去了[脱单doge],2024-08-31 00:00:51,0,,
61270,3.1,真理医生啥时候复刻啊铁宝，你不想让大家接受教育了吗,2025-02-14 23:58:19,3,,
65739,3.3,喷不了,2025-05-09 20:05:48,0,,
37443,2.2,[星星眼][星星眼],2024-04-26 20:54:32,0,,
60056,3.1,什么游戏[滑稽][滑稽][滑稽],2025-02-14 20:17:16,1,,
90167,3.8,击破c是只有流萤一个是吧[笑哭]巡猎怎么你了，ch还是没有原谅巡猎吗？,2025-12-05 21:39:33,4,,
21800,1.5,话说三月七皮肤你啥时候实装一下啊,2023-11-07 10:54:19,0,,
52015,2.6,游戏里也逃不开“上学”，我要欢乐课堂！！！！！[脱单doge],2024-10-11 23:11:35,0,,
28649,2.0,要了丹恒厨的老命了，我氪，我买，来，恒恒，和妈妈的钱说再见,2024-01-26 23:45:56,1,,
38287,2.2,7BGZL83M9TYL,2024-04-26 23:36:49,3,,
98132,4.1,4.1，拿拐杖，和cv和莱特有关，你是[思考],2026-03-13 20:12:38,52,,
40621,2.3,官方简介没打完[doge],2024-06-07 20:10:22,0,,
508,1.0,看了前瞻我更加确信铁道是大项目了，又是景区联动，又是科普节目，又是音乐纪录片，应该是旗舰，绝区零和铁道几乎没什么时间差，那大概率是是小项目，小箱庭而且没什么探索的地方，估计以玩法为主了[笑哭]有不同看法的吗？[脱单doge],2023-03-24 22:52:02,2221,,
16758,1.3,我擦，怎么都1.3了？,2023-08-18 20:57:46,0,,
64594,3.2,[喜欢],2025-03-29 00:37:47,0,,
59886,3.1,"兑换码:
8UU5JPRKENPY
9CV5J69KE67L
WUV4KN8KW7N8
上半提宝云璃
下半万敌藿藿[打call]",2025-02-14 20:14:58,659,,
7123,1.1,[doge][doge],2023-05-27 12:02:21,0,,
75259,3.5,"让无人传颂的歌谣，再度启唱。
为历史尘封的故事，续写新章。
高洁而纯真的灵魂，踏上旅途。
愿天谴之矛爱佑其身，赐予「纷争」的荣耀。
愿翻飞之币爱佑其身，赐予「诡计」的真诚。
愿灰黯之手爱佑其身，赐予「死亡」的温柔。
愿磐岩之脊爱佑其身，赐予「大地」的博爱。
愿满溢之杯爱佑其身，赐予「海洋」的关怀。
愿晨昏之眼爱佑其身，赐予「天空」的疗愈。
愿黄金之茧爱佑其身，赐予「浪漫」的美好。
愿裂分之枝爱佑其身，赐予「理性」的前路。
愿万径之门爱佑其身，赐予「门径」的指引。
愿公正之秤爱佑其身，赐予「律法」的正义。
愿永夜之帷爱佑其身，赐予「岁月」的见证。
愿全世之座爱佑其身，赐予「负世」的烈阳。
愿无瑕之人爱佑其身，赐予「真我」的回归。
我们于此赞颂，灰白之黎明的显著
「我这支歌将抚摸你的前额，犹如那祝福的亲吻」
「当你独自一人时，它会坐在身旁与你耳语；当你陷入人群时，它又会保护你远离喧嚣」
「我的歌将成为你梦想的羽翼，它将载着你的心到那未知的边缘」
「当黑夜遮蔽了你的路时，它又成为了照耀在你头顶的忠实星光」
于是，「始源」的故事迎来落幕
于是，「始源」的故事迎来伊始
「以我为终……」
以我……为始。",2025-08-02 20:46:13,41,,
12474,1.2,新版本[打call][打call][打call],2023-07-08 21:30:48,3,,
2958,1.0,[脱单doge][脱单doge][脱单doge],2023-03-25 00:02:02,1,,
7071,1.1,希望小保底不歪,2023-05-27 12:02:00,3,,
79471,3.6,可以可以,2025-09-12 20:00:49,0,,
84344,3.7,特效不错，剧情我很喜欢，早就期待大结局了，但是你氪金点太多，是真的我想象不到有这么逆天，你是告诉我你一个版本下来就一个活动,2025-10-24 20:28:50,1,,
89431,3.8,后面两个月我玩啥[大哭],2025-12-05 20:16:16,0,,
52163,2.6,小鸟对对碰啥时候再来一下？,2024-10-12 07:28:40,0,,
100692,4.2,燃燃燃,2026-04-10 21:19:49,0,,
47400,2.4,问一个问题哦，虚灵的将军看起来是不是不弱于飞霄的，毕竟虚灵设定上感觉像是仙舟联盟的压箱底武器了，不到迫不得已不起用的那种,2024-07-20 11:50:30,0,,
31342,2.1,扣一复活牢莹,2024-03-16 20:02:56,1,,
94720,4.0,你说得对但是马头我是真想要[藏狐],2026-02-06 20:48:08,2,,
21217,1.5,银枝sama，就等你来，枝门🙏,2023-11-03 23:22:58,0,,
34775,2.1,砂金太难打了[大哭][大哭][大哭],2024-03-28 18:36:35,2,,
18223,1.4,大家中秋快乐[保卫萝卜_哇],2023-09-29 20:08:21,0,,
88866,3.8,[脱单doge],2025-12-05 20:06:57,0,,
47832,2.5,“明霄竞武试锋芒，碧雨飞黄射天狼！”好句[星星眼],2024-08-30 20:01:08,393,,
59884,3.1,唉产能，唉福利,2025-02-14 20:14:57,1,,
40852,2.3,“流萤，你是我最后也是最彻底最完全的善”,2024-06-07 20:11:39,0,,
75223,3.5,前排,2025-08-02 20:46:02,0,,
95252,4.0,哇，绯英cv居然不是杜冥鸦,2026-02-06 21:17:13,52,,
65383,3.3,啊？猫猫躺倒在门前，还爆了一摊金币？[灵魂出窍],2025-05-09 20:01:14,0,,
48000,2.5,爸爸我把大保底不小心给椒丘了给我知更鸟求你了😭😭😭😭我求求你了爸爸啊啊啊😭😭😭😭我需要小鸟😭😭😭😭爸爸他是我的命啊😭😭😭😭，爸爸没有光椎也行啊，我保证好好养小鸟😭😭😭求你了爸爸给我吧😭😭😭😭😭😭😭😭😭，我需要她😭😭😭，我不能没有她😭😭😭😭😭，求求你了爸爸啊啊啊啊啊啊啊啊啊啊啊😭😭😭😭😭😭😭😭😭😭😭,2024-08-30 20:03:29,2,,
102366,4.3,"4.3版本卡池信息
爻光
千治刃
fate联动第二弹
远坂凛
复刻卡池
白厄
昔涟
4.3前瞻兑换码
9XEXMCQG9TDY
HEEW5U8HRTCL
3EWWMVRZQBU8",2026-05-22 19:57:27,2,,
20762,1.5,你这银枝莫名其妙闯入列车，是不是多少沾点[思考],2023-11-03 20:28:12,1,,
35346,2.2,起猛了，在2.2PV里看见景元了,2024-04-26 20:05:58,36,,
79243,3.5,今天没事路过黎明云崖，发现刻法勒也是四只手，想起前瞻里来古士也是四只手...[小电视_吃惊],2025-08-12 23:48:26,0,,
104255,4.3,整段预告大部分都是骗人的[笑哭][笑哭][笑哭],2026-06-03 20:58:28,1,,
53956,2.7,"隐藏兑换码wengfaluosi
120星琼记得拿",2024-11-23 11:39:39,3,,
68148,3.3,我感觉黑厄应该和迷迷一样有成长性的，我个人觉得嗷，黑厄，白厄，迷迷三者在逐火之旅不断完善自己，到了一个峰值，一起爆了，然后轮回，哈哈哈哈，可能有点草率,2025-05-09 21:40:33,0,,
46363,2.4,我想了好久 为什么云璃乍一看是火系实际上是物理 现在我想通了 因为云里雾里(云璃物理)ĕ,2024-07-19 20:28:48,0,,
59928,3.1,加强呢，我都等半天了，这是一点没透露啊，放点大饼也行啊，别跟我扯刷怪，我等希儿和罗刹加强等好久了,2025-02-14 20:15:31,0,,
82408,3.6,周日哥你什么表情哈哈哈哈哈哈,2025-09-13 22:58:47,1,,
79725,3.6,"丹枫——云龙月刀；
丹恒——青龙圣刀；
丹恒·饮月——游龙无影刀；
丹恒·腾荒——金龙斩风刀
【丹义父形态，升至最高级！】",2025-09-12 20:03:14,0,,
19778,1.4,就等镜流了,2023-09-30 10:14:54,1,,
48362,2.5,"一人一个前瞻梗，我先来
三月七：不是，我打呼雷？[脱单doge]",2024-08-30 20:13:00,4,,
60724,3.1,合着节奏全跑这里来了啊，这段时间原神没节奏我都不习惯了，没节奏的连游戏都不好玩了[傲娇],2025-02-14 20:36:25,4,,
36521,2.2,"啊！知更鸟小姐！美神降临呜呜呜！
[崩坏学园2_花痴][崩坏学园2_花痴][崩坏学园2_花痴]",2024-04-26 20:18:19,0,,
27122,2.0,匹诺康尼既然是梦境世界，打个琼玉牌也不是不可能。,2024-01-26 21:06:50,0,,
19413,1.4,"前瞻直播用自机角色完美3D直播，复刻分单独卡池，直播完送十罐体力，活动一图流连送十连都懒得写进去

这就是崩坏：星穹铁道，新世纪的完美游戏[打call]

接下来我要点名一款二字游戏[脑洞波系列主题装扮-贝拉_戳手指]",2023-09-29 21:34:44,171,,
12657,1.2,刃！今天前瞻有miki我真的激动到哭！还有九天多！我已经准备好把刃娶回家了！,2023-07-08 22:11:33,0,,
16943,1.3,才发现星铁pv也是崩三祖传小曲。。。。,2023-08-18 21:33:45,3,,
64718,3.2,话说联动什么时候开始啊？[笑哭],2025-03-29 07:37:18,0,,
27263,2.0,抽到黑天鹅可以请她用塔罗牌算算龙脉吗（错乱[tv_鬼脸],2024-01-26 21:14:10,0,,
52593,2.7,终于更新了，还以为你退网了[大哭],2024-11-22 19:46:23,1,,
95389,4.0,什么叫刃连人带床过来了꒰꒪꒫꒪⌯꒱？,2026-02-06 21:35:43,58,,
51698,2.6,那个香蕉哥的配音是星游记的克拉吗,2024-10-11 20:45:10,0,,
62331,3.2,这个版本是周年庆吗？？？我记得崩铁不是十月份开的服吗？？？,2025-03-28 20:18:31,0,,
7117,1.1,还真没主线啊？,2023-05-27 12:02:19,1,,
59619,3.1,"8UU5JPRKENPY
9CV5J69KE67L
WUV4KN8KW7N8",2025-02-14 20:07:20,0,,
81035,3.6,我是盲人，请问腾飞的荒泷是防御加成的岩属性角色吗？[doge],2025-09-12 20:14:39,0,,
86024,3.7,孩子们我还能说什么呢,2025-10-25 02:50:44,0,,
28155,2.0,汗流浃背了[藏狐],2024-01-26 22:28:51,0,,
91362,4.0,1111111,2026-02-06 20:30:30,0,,
70859,3.4,@Balabalabalamunu 其实每次看到白厄都会想一个人知道自己是男主的情况下竟然会这么做吗，帅也是真帅,2025-06-20 20:25:13,0,,
60383,3.1,小敌真的好好看啊[星星眼]，希望大家都好好的[保佑],2025-02-14 20:22:51,1,,
93154,4.0,[崩坏3·光辉矢愿_吃西瓜冰],2026-02-06 20:34:32,0,,
101787,4.2,6,2026-05-01 06:09:50,0,,
61324,3.1,无聊的版本，跳过等🦋,2025-02-15 01:04:36,0,,
59741,3.1,对缇宝犯错误了,2025-02-14 20:12:33,0,,
1748,1.0,准备上车！,2023-03-24 23:07:54,2,,
97843,4.1,看到前瞻公告提到星铁fes还以为会有五一星铁fes的消息说[委屈]（不过这会说好像有点早也是？）,2026-03-13 20:09:07,0,,
33078,2.1,好好好,2024-03-16 21:07:37,0,,
53372,2.7,"GVZFESL8JGUY
RCZEXSLQ3HVL
BDZXWB4RJZC8",2024-11-22 20:24:28,30,,
7591,1.1,前排好吧！,2023-05-27 12:13:46,0,,
26532,2.0,[崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_不可以看],2024-01-26 20:51:56,0,,
35071,2.2,我踏马来啦！！！！！,2024-04-26 20:01:41,0,,
16365,1.3,1.3什么时候更新 30号？,2023-08-18 20:26:18,0,,
93035,4.0,突然发现绯英的cv居然不是杜冥鸦老师[哦呼],2026-02-06 20:34:02,1,,
15690,1.3,好好好,2023-08-18 20:09:04,0,,
75198,3.5,[脱单doge],2025-08-02 20:45:52,0,,
42388,2.3,好消息：语文拿捏了[doge]，坏消息：数学还是不会写[笑哭],2024-06-07 21:27:42,5,,
62305,3.2,疯狂疯狂薄荷冰激凌！！！融化吧！（啥）,2025-03-28 20:17:06,3,,
10140,1.2,直播间在逃,2023-07-08 19:45:28,0,,
64389,3.2,会不会遐蝶碰活人死，碰死人活？最后一个人留在冥界,2025-03-28 22:26:27,0,,
84421,3.7,为什么弹幕上都在刷九九和爱门[热],2025-10-24 20:30:39,227,,
64080,3.2,大家记得5月26号上线领原画集哦,2025-03-28 20:59:26,2,,
41929,2.3,传一下前瞻哥们[笑哭]忘记看了,2024-06-07 20:30:55,0,,
93334,4.0,爽了！哈哈哈，花火火花！[doge],2026-02-06 20:35:09,1,,
35797,2.2,这2.1我真的一秒都待不下去了[大哭],2024-04-26 20:11:11,0,,
89913,3.8,"2E2Y9TZFWFZQ
AFJZQBZXWFJC
2WKG9BZWFW3G",2025-12-05 20:38:43,1,,
95597,4.0,喜剧的内核是悲剧，二相乐园是欢愉，最后剧情不会比翁星要沉重吧[思考],2026-02-06 22:19:22,0,,
90982,3.8,不要刀萤宝啊，米哈游我求你了[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭],2025-12-08 05:26:12,1,,
54873,3.0,砂金：怎么，在想我的事,2025-01-01 20:56:09,0,,
18858,1.4,[给心心][给心心][给心心][给心心],2023-09-29 20:23:14,0,,
25932,2.0,垃圾桶之王？,2024-01-26 20:46:37,0,,
53442,2.7,孩子们，我赢麻了,2024-11-22 20:31:20,1,,
86509,3.7,游戏内决战，游戏外也不能落下啊😋大家继续🤓,2025-10-26 13:25:21,12,,
102502,4.3,直播间在逃人士在哪里？[doge],2026-05-22 19:58:24,1,,
46173,2.4,一定要有阿尔托莉雅好不好一定要有阿尔托莉雅好不好一定要有阿尔托莉雅好不好一定要有阿尔托莉雅好不好一定要有阿尔托莉雅好不好,2024-07-19 20:22:06,0,,
39347,2.2,啊啊啊看到饮月和将军真的尖叫了……！😭,2024-05-06 01:38:44,0,,
32007,2.1,米哈游最近对模拟经营为啥这么执着，崩原铁都搞模拟经营了[保卫萝卜_哭哭]数海寻馔可太肝了[跪了],2024-03-16 20:23:59,1,,
99412,4.2,[星星眼],2026-04-10 20:30:45,0,,
56329,3.0,可不可以把遗器数量改多一点……开服的老东西真的装不下啦，优化又优化剩余的，但是还是不够装就剩300个空位了,2025-01-01 22:04:39,1,,
14074,1.2,众所周知，性别是爸爸的X和Y染色体造成的所以说选性别的是爸爸所以卡芙卡是爸爸，创造身身体是妈妈这的责任所以说银狼是妈妈,2023-08-10 08:23:22,1,,
3930,1.0,26号在学校，赶不上开服呜呜呜[保卫萝卜_哭哭][保卫萝卜_哭哭],2023-03-25 02:13:16,1,,
61063,3.1,遐蝶[大哭][大哭][大哭],2025-02-14 21:48:24,0,,
93465,4.0,完了，把前瞻给忘了,2026-02-06 20:35:41,0,,
45167,2.4,虽然鸳鸯锅很对我胃口，但是后续的飞霄将军和灵砂明显更好啊[热词系列_多谢款待],2024-07-19 20:09:59,0,,
99763,4.2,你们看我升LV6这事[少女乐队的呐喊表情包_献花][少女乐队的呐喊表情包_献花][少女乐队的呐喊表情包_献花],2026-04-10 20:37:20,0,,
75616,3.5,这个黑化的七月三还挺好看的，有点儿想抽，要不放弃音鲸女子算了……,2025-08-02 20:48:51,1,,
49371,2.5,"仙舟连续两个版本没符玄出场啊，好像她是出场最少的那批限五吧？贝洛伯格都来凑热闹了，要说罗刹镜流卡芙卡这些是给后面大活留戏份，我是不知道符玄后面还有啥能出场的……真就一句出差省事呗[哦呼]
不过还好最喜欢的我托又买了，美美来仙舟[汤圆][汤圆]",2024-08-30 20:49:30,3,,
5234,1.0,啦啦啦,2023-03-25 12:31:52,1,,
89069,3.8,我就知道会是这个标题,2025-12-05 20:09:29,0,,
98589,4.1,这么搞的话，会不会像3.0昔涟那样有一个自机角色成为欢愉星神，绯樱？或者大胆点，归寂？[思考],2026-03-13 20:43:03,2,,
